FamID	Expected	Var	CoVar
1	101	2.76078431372549	4.42512879661669	0.652164999753733
2	103	1.32607595961231	0.422295904794472	0.422295904794472
3	105	1.55339805825243	0.771420492035065	0.287476478812776
4	105A	1.57663109723499	0.886473118984205	0.886473118984205
5	108	1.5	0.5	0.0399999999999996
6	110	1.27680798004988	0.245073102779212	0.0841415683136755
7	111	1.51479289940828	0.498301880186268	0.0583570967543983
8	112	1.34383202099738	0.397340096267494	0.306994380556173
9	115	1.92771084337349	0.910436928436638	0.217518980492506
10	119	1.14669652855543	0.154291998610569	0.110855930286588
11	121	1.33333333333333	0.222222222222222	0
12	122	1.71428571428571	0.489795918367347	0
13	123	1.41176470588235	0.359861591695501	0.0569023080272899
14	124	1.75428291727851	1.26120901834254	0.415466573368477
15	125	2.5002712967987	2.56904496166663	0.489379558346824
16	126	1.2972972972973	0.262965668371074	0.0526292706460247
17	129	2.19428571428571	1.21939591836735	0.360873991698644
18	131	1.56540952361157	1.10929448813751	1.10929448813751
19	133	1.72972972972973	0.683710737764792	0.0735251899038656
20	134	1.23076923076923	0.228796844181459	0.0882681995293393
21	151	1.49298341534536	0.815287016856351	0.815287016856351
22	182	1.89395807644883	1.18727545570234	0.20962612985608
23	207	1.33751306165099	0.417955361637126	0.325110786325248
24	208	1.41176470588235	0.359861591695501	0.0569023080272899
25	210	1.53405087423656	0.967559410050232	0.967559410050232
26	211	2.33878949371907	2.32602868313286	0.471954814928599
27	211A	1.58024691358025	0.564548087181832	0.0768907915722319
28	212	1.32299741602067	0.337533134360248	0.109986375503504
29	212A	2.13333333333333	0.782222222222222	0
30	217	1.58024691358025	0.564548087181832	0.0768907915722319
31	218	1.71428571428571	0.489795918367347	0
32	220	1.33751306165099	0.417955361637126	0.325110786325248
33	223	1.77777777777778	0.839506172839506	0.0739216582837985
34	224	2.17751250513496	2.26112155081262	1.21078056927352
35	226	1.33333333333333	0.222222222222222	0
36	227	1.47126436781609	0.410093803672876	0.144117095139801
37	228	1.58024691358025	0.564548087181832	0.0768907915722319
38	230	3.33985649054142	4.45918771586948	0.162021536698635
39	233	1.80191050779286	0.903948084499943	0.202691294197904
40	234	1.33333333333333	0.222222222222222	0
41	235	2.08695652173913	1.47069943289225	0.305952272005426
42	236	1.71428571428571	0.489795918367347	0
43	238	1.82299084435402	1.36439512402604	0.457854350542416
44	239	1.58024691358025	0.564548087181832	0.0768907915722319
45	245	1.65009208103131	0.813107726327714	0.3540724924242
46	250	2.46153846153846	1.73570019723866	0.102251974046846
47	255	1.69137561404795	1.12743534941926	1.12743534941926
48	S2029	1.71428571428571	0.489795918367347	0
