FamID	Expected	Var	CoVar
101	2.76078431372549	4.42512879661669	0.652164999753737
103	1.32607595961231	0.422295904794472	0.422295904794472
105	1.55339805825243	0.771420492035065	0.287476478812776
105A	1.57663109723499	0.886473118984205	0.886473118984205
108	1.5	0.5	0.0399999999999996
110	1.27680798004988	0.245073102779212	0.0841415683136755
111	1.47635524798155	0.551632390523209	0.194883415888559
112	1.34973637961336	0.359231037709915	0.141666150960277
115	1.92771084337349	0.910436928436638	0.217518980492506
119	1.20329024676851	0.236698927507695	0.224700630551887
121	1.33725106105126	0.228083465208636	0.00705374230999567
122	1.71428571428571	0.489795918367347	0
123	1.41176470588235	0.359861591695501	0.0569023080272899
124	1.78164419312745	1.26593535665506	0.690308820090141
125	2.23825136612022	1.9148209859954	0.520247400589284
126	1.47126436781609	0.410093803672876	0.144117095139801
129	2.19428571428571	1.21939591836735	0.360873991698644
131	1.56540952361157	1.10929448813751	1.10929448813751
133	1.72972972972973	0.683710737764792	0.0735251899038656
134	1.23076923076923	0.228796844181459	0.0882681995293393
151	1.4081650193382	0.756392292493586	0.756392292493586
182	1.89395807644883	1.18727545570234	0.20962612985608
207	1.41163496002206	0.501910395557505	0.348587605824663
208	1.41176470588235	0.359861591695501	0.0569023080272899
210	1.53700610389482	1.01582356910889	1.01582356910889
211	2.35292780090685	2.36197017874292	0.499340807925449
211A	1.58024691358025	0.564548087181832	0.0768907915722319
212	1.12280701754386	0.11942136041859	0.0460242741311938
212A	2.13333333333333	0.782222222222222	0
217	1.58024691358025	0.564548087181832	0.0768907915722319
218	1.71428571428571	0.489795918367347	0
220	1.48048192771084	0.614920249673392	0.481259876680727
223	1.5	0.5	0.0399999999999996
224	2.17751250513496	2.26112155081262	1.2107805692736
226	1.33333333333333	0.222222222222222	0
227	1.47126436781609	0.410093803672876	0.144117095139801
228	1.72972972972973	0.683710737764792	0.0735251899038656
230	3.60845732184808	3.41756355593112	0.0639025182085433
233	1.80191050779286	0.903948084499943	0.202691294197904
234	1.39890710382514	0.316282958583415	0.0939481675022953
235	2.08695652173913	1.47069943289225	0.305952272005426
236	1.71428571428571	0.489795918367347	0
238	1.83345323165955	1.37964471356177	0.463263888072368
239	1.58024691358025	0.564548087181832	0.0768907915722319
245	1.63619114195836	0.859703832841094	0.595475028054847
250	2.46153846153846	1.73570019723866	0.102251974046846
S2029	1.71428571428571	0.489795918367347	0
255	1.78920937580246	1.85417817606575	1.85417817606575
